,flux
adn,10
ala__L,10
amp,10
arg__L,10
aso3,10
asp__L,10
ca2,10
cbl1,10
cd2,10
cl,10
cmp,10
cobalt2,10
cro4,10
cu2,10
cys__L,10
dad_2,10
dcyt,10
fe2,10
fe3,10
fol,10
glc__D,10
glu__L,10
gly,10
gmp,10
gsn,10
h2o,10
h2s,10
h,10
hg2,10
his__L,10
hxan,10
ile__L,10
ins,10
k,10
leu__L,10
lipoate,10
lys__L,10
met__L,10
mg2,10
mn2,10
mobd,10
na1,10
nac,10
nh4,10
ni2,10
o2,10
phe__L,10
pheme,10
pi,10
pnto__R,10
pro__L,10
pydx,10
ribflv,10
ser__L,10
so4,10
thm,10
thr__L,10
thymd,10
trp__L,10
tyr__L,10
ump,10
ura,10
uri,10
val__L,10
zn2,10
cm,10
