medium	compound
YPD	h2o
YPD	o2
YPD	pi
YPD	amp
YPD	glu__L
YPD	glc__D
YPD	pheme
YPD	mn2
YPD	gly
YPD	zn2
YPD	ala__L
YPD	lys__L
YPD	asp__L
YPD	cmp
YPD	so4
YPD	arg__L
YPD	ser__L
YPD	cu2
YPD	met__L
YPD	ca2
YPD	trp__L
YPD	phe__L
YPD	h
YPD	tyr__L
YPD	cys__L
YPD	ump
YPD	ura
YPD	cl
YPD	leu__L
YPD	his__L
YPD	gmp
YPD	pro__L
YPD	co2
YPD	val__L
YPD	thr__L
YPD	adn
YPD	thymd
YPD	k
YPD	pydx
YPD	nac
YPD	pphn
YPD	ribflv
YPD	hxan
YPD	h2s
YPD	ins
YPD	uri
YPD	mg2
YPD	gsn
YPD	ile__L
YPD	cystine__L
YPD	skm
YPD	fol
YPD	dadsn
YPD	hg2
YPD	lipoate
YPD	pnto__R
YPD	dcyt
YPD	thmpp
YPD	na1
YPD	cd2
YPD	aso4
YPD	cbl1
YPD	fe2
YPD	fe3
YPD	cro4
