met_id,Influx
h2o,100
o2,100
pi,100
amp,100
glu__L,100
glc__D,100
pheme,100
mn2,100
gly,100
zn2,100
ala__L,100
lys__L,100
asp__L,100
cmp,100
so4,100
arg__L,100
ser__L,100
cu2,100
met__L,100
ca2,100
trp__L,100
phe__L,100
h,100
tyr__L,100
cys__L,100
ump,100
ura,100
cl,100
leu__L,100
his__L,100
gmp,100
pro__L,100
co2,100
val__L,100
thr__L,100
adn,100
thymd,100
k,100
pydx,100
nac,100
pphn,100
ribflv,100
hxan,100
h2s,100
ins,100
uri,100
mg2,100
gsn,100
ile__L,100
cystine__L,100
skm,100
fol,100
dadsn,100
hg2,100
lipoate,100
pnto__R,100
dcyt,100
thmpp,100
na1,100
cd2,100
aso4,100
cbl1,100
fe2,100
fe3,100
cro4,100
