compounds,name,maxFlux
cpd00001_c0,h2o,100
cpd00007_c0,o2,100
cpd00009_c0,pi,100
cpd00602_c0,amp,100
cpd00023_c0,glu__L,100
cpd00027_c0,glc__D,100
cpd00028_c0,pheme,100
cpd00030_c0,mn2,100
cpd00033_c0,gly,100
cpd00034_c0,zn2,100
cpd00035_c0,ala__L,100
cpd00039_c0,lys__L,100
cpd00041_c0,asp__L,100
cpd00046_c0,cmp,100
cpd00048_c0,so4,100
cpd00051_c0,arg__L,100
cpd00054_c0,ser__L,100
cpd00058_c0,cu2,100
cpd00060_c0,met__L,100
cpd00063_c0,ca2,100
cpd00065_c0,trp__L,100
cpd00066_c0,phe__L,100
cpd00067_c0,h,100
cpd00069_c0,tyr__L,100
cpd00089_c0,cys__L,100
cpd00091_c0,ump,100
cpd00037_c0,ura,100
cpd00003_c0,cl,100
cpd00107_c0,leu__L,100
cpd00119_c0,his__L,100
cpd00126_c0,gmp,100
cpdOO129_c0,pro__L,100
cpd00011_c0,co2,100
cpd00051_c0,val__L,100
cpd00161_c0,thr__L,100
cpd00182_c0,adn,100
cpd00184_c0,thymd,100
cpd00205_c0,k,100
cpd00215_c0,pydx,100
cpd00218_c0,nac,100
cpd00219_c0,pphn,100
cpd00220_c0,ribflv,100
cpd00226_c0,hxan,100
cpd00239_c0,h2s,100
cpd00246_c0,ins,100
cpd00249_c0,uri,100
cpd00254_c0,mg2,100
cpd00311_c0,gsn,100
cpd00322_c0,ile__L,100
cpd00381_c0,cystine__L,100
cpd00383_c0,skm,100
cpd00393_c0,fol,100
cpd00438_c0,dadsn,100
cpd00531_c0,hg2,100
cpd00541_c0,lipoate,100
cpd00644_c0,pnto__R,100
cpd00654_c0,dcyt,100
cpd00056_c0,thmpp,100
cpd00971_c0,na1,100
cpd01012_c0,cd2,100
cpd01048_c0,aso4,100
cpd00635_c0,cbl1,100
cpd00021_c0,fe2,100
cpd10516_c0,fe3,100
cpd11595_c0,cro4,100
